INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,RTF;65;1.63;3.3;7.17
INF FORM,NEST,GOOD START ESSENT SOY,W/ IRON,LIQ CON,NOT RECO;128;3.2;6.5;14.1
INF FORMULA,NESTLE,GOOD START ESSENTIALS SOY,W/ IRON,PDR;502;12.5;25.5;55.7
INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PDR,NOT RECON;480;15.6;21;57.1
INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PREP FROM PDR;67;2.14;2.91;8.08
BABYFOOD,CORN & SWT POTATOES,STR;68;1.26;0.28;15.23
INF FORM,ABBO NUTR,SIMIL,ALIMENT,ADVANCE,RTF,W/ ARA & DHA;67;1.8;3.63;6.77
INF FORM,PBM PRODU,STORE BRAND,RTF (FORM WYETH-AYERST);63;1.4;3.5;6.39
INF FORM,PBM PROD,STORE BRAND,LC,NOT REC (FORM WYETH-AYERST);130;2.9;7;13.9
INF FORMULA,PBM PRODUCTS,STORE BRAND,PDR;524;12;28;56
INF FORMULA,PBM PRODUCTS,STORE BRAND,SOY,RTF;63;1.8;3.5;6.09
INF FORMU,PBM PRODU,STORE BR,SOY,LIQ CONC,NOT RECON;126;3.6;7;12.18
INF FORMULA,PBM PRODUCTS,STORE BRAND,SOY,PDR;508;13.6;27.2;52.2
INF FORMULA,MEAD JOHNSON,ENFAMIL,AR LIPIL,RTF,W/ ARA & DHA;68;1.71;3.49;7.53
INF FORMULA,MEAD JOHNSON,ENFAMIL,AR LIPIL,PDR,W/ ARA & DHA;509;12.73;25.97;56.03
INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA;69;1.92;3.77;6.94
INF FORM,ABBOTT ,SIMILAC,NEOSURE,PDR,W/ ARA & DHA;520;14.42;28.33;51.75
INF FOR,ABBO NUTR,SIMIL,SENS (LACTOSE FREE) RTF,W/ ARA & DHA;68;1.48;3.74;7.4
INF FOR,ABB NUT,SIMILA,SENSIT,(LACT FR),LIQ CON,W/ ARA & DHA;128;2.73;6.95;13.64
INF FOR,ABBONUTR,SIMIL,SENSIT,(LACTO FREE),PDR,W/ ARA & DHA;520;11.13;28.14;55.67
INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANCE,W/ IRON,RTF;66;1.36;3.7;6.77
INF FORMULA,ABBOTT NUTR,SIMILAC,ADVANC,W/ IRON,PDR,NOT RECON;522;10.89;28.87;54.73
INF FORMU,ABBO NUTR,SIMILAC,ADVAN,W/ IRON,LIQ CONC,NOT RECON;127;2.64;6.89;13.52
INF FORM,ABBO NUTR,SIMIL,ISOMIL,ADVA W/ IRON,LIQ CONC;128;3.13;6.98;13.21
INF FOR,ABBO NUTR,SIMIL,ISOMIL,ADVANCE W/ IRON,RTF;66;1.61;3.59;6.7
INF FOR,ABBO NUTR,SIMI,ISOMIL,ADVANCE W/ IRON,PDR,NOT RECON;517;12.6;28.09;53.57
INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA;71;2;3.8;7.4
BABYFOOD,YOGURT,WHL MILK,W/ FRUIT,MULTIGRAIN CRL & ADDED DHA;98;3.4;3.53;13.22
INF FORM,ABBOTT,ALIMENTUM ADVANCE,IRON,PDR,NOTREC,DHA&ARA;517;13.99;28.19;51.91
BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER;48;1.13;1.47;7.64
INF FORMULA,NESTLE,GOOD START SUPREME,W/ IRON,DHA & ARA,RTF;66;1.45;3.37;7.39
INF FORM,NESTLE,GOOD START SUPREME,IRON,DHA&ARA,PRP FR LC;66;1.45;3.37;7.39
INFFORM,MEADJOHNSON,ENFAMIL GENTLEASE LIPIL,W/IRON,PREPFRPDR;63;1.52;3.5;6.39
BABY FD,FORT CRL BAR,FRUIT FILLING;344;5.43;5.3;68.63
BABYFOOD,YOGURT,WHL MILK,W/ FRUIT,MULTIGRAIN CRL & IRON;92;3.05;3.08;13
INF FORMULA,NESTLE,GOOD START SOY,W/ DHA & ARA,LIQ CONC;132;3.31;6.67;14.71
Infant formula Enfamil,NEXT STEP,Milk based LIPIL, powder;501;13;26.9;56
TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF;64;1.78;3.63;7.18
INF FORMULA,MEAD JOHNSON,ENFAMIL,GENTLEASE,PDR;514;11.8;27;56
FAT,BEEF TALLOW;902;0;100;0
LARD;902;0;100;0
SALAD DRSNG,KRAFT MAYO LT MAYO;334;0.6;32.9;8.5
SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG;70;0.2;2.7;12.4
SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG;84;0.2;2.7;15.5
SALAD DRSNG,RUSSIAN DRSNG;355;0.69;26.18;31.9
SALAD DRSNG,SESAME SD DRSNG,REG;443;3.1;45.2;8.6
SALAD DRSNG,1000 ISLAND,COMM,REG;370;1.09;35.06;14.64
SALAD DRSNG,MAYO TYPE,REG,W/SALT;390;0.9;33.4;23.9
SALAD DRSNG,FRENCH DRSNG,RED FAT;222;0.58;11.52;31.22
SALAD DRSNG,ITALIAN DRSNG,RED FAT;75;0.47;6.38;4.57
SALAD DRSNG,RUSSIAN DRSNG,LO CAL;141;0.5;4;27.6
SALAD DRSNG,1000 ISLAND DRSNG,RED FAT;195;0.83;11.32;24.06
SALAD DRSNG,MAYO,SOYBN OIL,W/SALT;718;0.9;79.39;3.16
SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT;717;1.1;79.4;2.7
SALAD DRSNG,MAYO,IMITN,SOYBN;232;0.3;19.2;16
SALAD DRSNG,MAYO,IMITN,MILK CRM;97;2.1;5.1;11.1
SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL;482;0.1;47.7;15.8
SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS;389;0.9;34;22.4
SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED;884;0;100;0
OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED);884;0;100;0
OIL,RICE BRAN;884;0;100;0
OIL,WHEAT GERM;884;0;100;0
OIL,PNUT,SALAD OR COOKING;884;0;100;0
OIL,SOYBN,SALAD OR COOKING;884;0;100;0
OIL,COCNT;862;0;100;0
OIL,OLIVE,SALAD OR COOKING;884;0;100;0
OIL,PALM;884;0;100;0
OIL,SESAME,SALAD OR COOKING;884;0;100;0
OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%);884;0;100;0
MARGARINE,REG,HARD,SOYBN (HYDR);719;0.9;80.5;0.9
SALAD DRSNG,ITALIAN DRSNG,COMM,REG;291;0.38;28.37;10.43
SALAD DRSNG,FRENCH DRSNG,COMM,REG;457;0.77;44.81;15.58
