TURKEY,ALL CLASSES,WING,MEAT&SKN,RAW;197;20.22;12.32;0
TURKEY,ALL CLASSES,WING,MEAT&SKN,CKD,RSTD;229;27.38;12.43;0
TURKEY,FRYER-ROASTERS,MEAT&SKN&GIBLETS&NECK,RAW;133;22.15;4.25;0.05
TURKEY,FRYER-ROASTERS,MEAT&SKN&GIBLETS&NECK,CKD,RSTD;171;28.08;5.64;0.04
TURKEY,FRYER-ROASTERS,MEAT&SKN,RAW;134;22.37;4.25;0
TURKEY,FRYER-ROASTERS,MEAT&SKN,CKD,RSTD;172;28.26;5.72;0
TURKEY,FRYER-ROASTERS,MEAT ONLY,RAW;110;22.32;1.58;0
TURKEY,FRYER-ROASTERS,MEAT ONLY,CKD,RSTD;150;29.56;2.63;0
TURKEY,FRYER-ROASTERS,SKN ONLY,RAW;283;16.6;23.54;0
TURKEY,FRYER-ROASTERS,SKN ONLY,CKD,RSTD;299;20.94;23.28;0
TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKN,RAW;133;23.09;3.81;0
TURKEY,FRYER-ROASTERS,LT MEAT,MEAT&SKN,CKD,RSTD;164;28.77;4.58;0
TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKN,RAW;129;20.06;4.79;0
TURKEY,FRYER-ROASTERS,DK MEAT,MEAT&SKN,CKD,RSTD;182;27.69;7.06;0
TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,RAW;108;24.18;0.49;0
TURKEY,FRYER-ROASTERS,LT MEAT,MEAT ONLY,CKD,RSTD;140;30.19;1.18;0
TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,RAW;111;20.46;2.67;0
TURKEY,FRYER-ROASTERS,DK MEAT,MEAT ONLY,CKD,RSTD;162;28.84;4.31;0
TURKEY,FRYER-ROASTERS,BACK,MEAT&SKN,RAW;151;19.89;7.27;0
TURKEY,FRYER-ROASTERS,BACK,MEAT&SKN,CKD,RSTD;204;26.15;10.24;0
TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,RAW;120;20.66;3.51;0
TURKEY,FRYER-ROASTERS,BACK,MEAT ONLY,CKD,RSTD;170;28.02;5.64;0
TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKN,RAW;125;23.76;2.65;0
TURKEY,FRYER-ROASTERS,BREAST,MEAT&SKN,CKD,RSTD;153;29.07;3.2;0
TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,RAW;111;24.6;0.65;0
TURKEY,FRYER-ROASTERS,BREAST,MEAT ONLY,CKD,RSTD;135;30.06;0.74;0
TURKEY,FRYER-ROASTERS,LEG,MEAT&SKN,RAW;118;20.13;3.57;0
TURKEY,FRYER-ROASTERS,LEG,MEAT&SKN,CKD,RSTD;170;28.49;5.41;0
TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,RAW;108;20.35;2.37;0
TURKEY,FRYER-ROASTERS,LEG,MEAT ONLY,CKD,RSTD;159;29.19;3.77;0
TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,RAW;159;20.85;7.72;0
TURKEY,FRYER-ROASTERS,WING,MEAT&SKN,CKD,RSTD;207;27.65;9.87;0
TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,RAW;106;22.49;1.12;0
TURKEY,FRYER-ROASTERS,WING,MEAT ONLY,CKD,RSTD;163;30.85;3.44;0
TURKEY,YOUNG HEN,MEAT&SKN&GIBLETS&NECK,RAW;166;20.15;8.78;0.11
TURKEY,YOUNG HEN,MEAT&SKN&GIBLETS&NECK,CKD,RSTD;215;28;10.55;0.07
TURKEY,YOUNG HEN,MEAT&SKN,RAW;168;20.18;9.09;0
TURKEY,YOUNG HEN,MEAT&SKN,CKD,RSTD;218;28.09;10.88;0
TURKEY,YOUNG HEN,MEAT ONLY,RAW;122;21.76;3.18;0
TURKEY,YOUNG HEN,MEAT ONLY,CKD,RSTD;175;29.25;5.51;0
TURKEY,YOUNG HEN,SKN ONLY,RAW;417;11.79;40.62;0
TURKEY,YOUNG HEN,SKN ONLY,CKD,RSTD;482;19.03;44.45;0
TURKEY,YOUNG HEN,LT MEAT,MEAT&SKN,RAW;165;21.51;8.1;0
TURKEY,YOUNG HEN,LT MEAT,MEAT&SKN,CKD,RSTD;207;28.64;9.4;0
TURKEY,YOUNG HEN,DK MEAT,MEAT&SKN,RAW;172;18.65;10.25;0
TURKEY,YOUNG HEN,DK MEAT,MEAT&SKN,CKD,RSTD;232;27.37;12.78;0
TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,RAW;116;23.64;1.66;0
TURKEY,YOUNG HEN,LT MEAT,MEAT ONLY,CKD,RSTD;161;29.89;3.74;0
TURKEY,YOUNG HEN,DK MEAT,MEAT ONLY,RAW;130;20.07;4.88;0
TURKEY,YOUNG HEN,DK MEAT,MEAT ONLY,CKD,RSTD;192;28.42;7.79;0
TURKEY,YOUNG HEN,BACK,MEAT&SKN,RAW;218;17.51;15.93;0
TURKEY,YOUNG HEN,BACK,MEAT&SKN,CKD,RSTD;254;26.41;15.64;0
TURKEY,YOUNG HEN,BREAST,MEAT&SKN,RAW;167;21.62;8.3;0
TURKEY,YOUNG HEN,BREAST,MEAT&SKN,CKD,RSTD;194;28.8;7.86;0
TURKEY,YOUNG HEN,LEG,MEAT&SKN,RAW;151;19.46;7.5;0
TURKEY,YOUNG HEN,LEG,MEAT&SKN,CKD,RSTD;213;27.73;10.5;0
TURKEY,YOUNG HEN,WING,MEAT&SKN,RAW;210;19.93;13.87;0
TURKEY,YOUNG HEN,WING,MEAT&SKN,CKD,RSTD;238;27.3;13.46;0
TURKEY,YOUNG TOM,MEAT&SKN&GIBLETS&NECK,RAW;152;20.39;7.21;0.08
TURKEY,YOUNG TOM,MEAT&SKN&GIBLETS&NECK,CKD,RSTD;199;27.97;8.81;0.1
TURKEY,YOUNG TOM,MEAT&SKN,RAW;154;20.45;7.43;0
TURKEY,YOUNG TOM,MEAT&SKN,CKD,RSTD;202;28.09;9.06;0
TURKEY,YOUNG TOM,MEAT ONLY,RAW;117;21.72;2.7;0
TURKEY,YOUNG TOM,MEAT ONLY,CKD,RSTD;168;29.36;4.68;0
TURKEY,YOUNG TOM,SKN ONLY,RAW;368;13.24;34.56;0
TURKEY,YOUNG TOM,SKN ONLY,CKD,RSTD;422;20.14;37.25;0
TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,RAW;156;21.63;7.04;0
TURKEY,YOUNG TOM,LT MEAT,MEAT&SKN,CKD,RSTD;191;28.48;7.7;0
TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,RAW;152;19.05;7.89;0
TURKEY,YOUNG TOM,DK MEAT,MEAT&SKN,CKD,RSTD;216;27.58;10.85;0
TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,RAW;114;23.43;1.57;0
TURKEY,YOUNG TOM,LT MEAT,MEAT ONLY,CKD,RSTD;154;29.88;2.92;0
TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,RAW;123;20.04;4.11;0
TURKEY,YOUNG TOM,DK MEAT,MEAT ONLY,CKD,RSTD;185;28.68;6.98;0
TURKEY,YOUNG TOM,BACK,MEAT&SKN,RAW;179;18.47;11.14;0
TURKEY,YOUNG TOM,BACK,MEAT&SKN,CKD,RSTD;238;26.8;13.65;0
TURKEY,YOUNG TOM,BREAST,MEAT&SKN,RAW;151;21.96;6.34;0
TURKEY,YOUNG TOM,BREAST,MEAT&SKN,CKD,RSTD;189;28.61;7.39;0
TURKEY,YOUNG TOM,LEG,MEAT&SKN,RAW;141;19.54;6.34;0
TURKEY,YOUNG TOM,LEG,MEAT&SKN,CKD,RSTD;206;27.93;9.63;0
TURKEY,YOUNG TOM,WING,MEAT&SKN,RAW;188;20.45;11.22;0
TURKEY,YOUNG TOM,WING,MEAT&SKN,CKD,RSTD;221;27.45;11.5;0
CHICKEN,CND,MEAT ONLY,W/BROTH;165;21.77;7.95;0
PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED;462;11.4;43.84;4.67
TURKEY,CND,MEAT ONLY,W/BROTH;169;23.68;6.86;1.47
TURKEY,DICED,LT&DK MEAT,SEASONED;138;18.7;6;1
TURKEY AND GRAVY,FROZEN;67;5.88;2.63;4.61
TURKEY PATTIES,BREADED,BATTERED,FRIED;283;14;18;15.7
TURKEY BREAST,PRE-BASTED,MEAT&SKN,CKD,RSTD;126;22.16;3.46;0
TURKEY THIGH,PRE-BASTED,MEAT&SKN,CKD,RSTD;157;18.8;8.54;0
TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW;120;17.6;2.2;6.4
TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RSTD;155;21.32;5.78;3.07
TURKEY STKS,BREADED,BATTERED,FRIED;279;14.2;16.9;17
POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS W/SKN,RAW;272;11.39;24.73;0
POULTRY,MECHANICALLY DEBONED,FROM BACKS&NECKS WO/SKN,RAW;199;13.79;15.48;0
POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW;243;14.72;19.98;0
TURKEY,MECHANICALLY DEBONED,FROM TURKEY FRAMES,RAW;201;13.29;15.96;0
Poultry food products, ground turkey, raw;148;19.66;7.66;0
Poultry food products, ground turkey, cooked;203;27.37;10.4;0
CHICKEN,CORNISH GAME HENS,MEAT&SKN,RAW;200;17.15;14.02;0
CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD;259;22.27;18.21;0
CHICKEN,CORNISH GAME HENS,MEAT ONLY,RAW;116;20.04;3.33;0
CHICKEN,CORNISH GAME HENS,MEAT ONLY,CKD,RSTD;134;23.3;3.87;0
CHICKEN,CANNED,NO BROTH;185;25.3;8.1;0.9
CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV;211;19.67;12.67;3.34
CHICKEN,WING,FRZ,GLAZED,BARBECUE FLAV,HTD (MICROWAVE);248;25.34;13.9;3.84
CHKN,BROLRS OR FRYERS,BRST,SKNLSS,BNLESS,MEAT OLY,ENHCED,RAW;104;19.75;2.73;0
DUCK,YNG DUCKLING,DOM,WH PEKIN,BRST,MEAT&SKN,BNLESS,CKD,RSTD;202;24.5;10.85;0
DUCK,YNG DUCKL,DOM,WH PEKIN,BRST,MEAT,BNLESS,CKD WO/SKN,BRLD;140;27.6;2.5;0
DUCK,YNG DUCKLING,DOM,WH PEKIN,LEG,MEAT&SKN,BONE IN,CKD,RSTD;217;26.75;11.4;0
DUCK,YNG DUCKL,DOM,WH PEKIN,LEG,MEAT,BONE IN,CKD WO/SKN,BRSD;178;29.1;5.96;0
CHICKEN,WING,FRZ,GLAZED,BBQ FLAV,HTD (CONVENTIONAL OVEN);242;22.24;14.87;3.36
CHICKEN NUGGETS,FRZ,CKD;296;15.27;19.82;14.09
CHICKEN NUGGETS,FRZ,UNCKD;276;13.89;18.06;14.38
CHICKEN PATTY,FRZ,UNCKD;292;14.33;20.04;13.61
CHICKEN PATTY,FRZ,CKD;287;14.85;19.58;12.84
CHICKEN BREAST TENDERS,CKD,CONVENTIONAL OVEN;293;15.78;17.69;17
CHICKEN BREAST TENDERS,CKD,MICROWAVED;252;16.35;12.89;17.56
CHICKEN BREAST TENDERS,UNCKD;263;14.73;15.75;15.01
CHICKEN,GROUND,RAW;143;17.44;8.1;0.04
CHICKEN,GROUND,CRUMBLES,CKD,PAN-BROWNED;189;23.28;10.92;0
CHICK,FEET,BOILED;215;19.4;14.6;0.2
USDA CMDTY CHICK,CND,MEAT ONLY,DRND;162;27.52;5.72;0
USDA CMDTY,CHICK,CND,MEAT ONLY,W/ H2O;129;22.02;4.58;0
USDA CMDTY,CHICK,CND,MEAT ONLY,W/ BROTH;133;22.41;4.69;0.23
CHICKEN,BROILERS OR FRYERS,BACK,MEAT ONLY,CKD,ROTISSERIE,ORI;205;25.34;11.54;0
CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,ROTISSERIE,O;148;29.07;3.49;0
CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,ROTISSERIE,;176;28.74;6.81;0
CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,ROTISSERIE,ORIGINAL;406;17.66;37.24;0
CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR;196;24.06;11.09;0
CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,ROTISSERIE,ORI;197;27.69;9.53;0
CHICKEN,BROILERS OR FRYERS,BACK,MEAT & SKN,CKD,ROTISSERIE,OR;260;23.23;18.59;0
CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,;184;27.48;8.18;0
CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT & SKN,CKD,ROTISSERIE;215;26.86;11.98;0
CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O;233;22.93;15.7;0
CHICKEN,BROILERS OR FRYERS,WING,MEAT & SKN,CKD,ROTISSERIE,OR;266;24.34;18.77;0
USDA CMDTY,CHICK FAJITA STRIPS,FRZ;135;18.56;5.73;2.23
USDA CMDTY,TURKEY TACO MEAT,FRZ,CKD;148;16.8;7.58;3.03
USDA COMMODITY,TURKEY HAM,DK MEAT,SMOKED,FRZ;118;16.3;4;3.1
EMU,GROUND,RAW;134;22.77;4.03;0
EMU,GROUND,CKD,PAN-BROILED;163;28.43;4.65;0
EMU,FAN FILLET,RAW;103;22.5;0.8;0
EMU,FAN FILLET,CKD,BRLD;154;31.27;2.3;0
EMU,FLAT FILLET,RAW;102;22.25;0.74;0
EMU,FULL RUMP,RAW;112;22.83;1.64;0
EMU,FULL RUMP,CKD,BRLD;168;33.67;2.68;0
EMU,INSIDE DRUM,RAW;108;22.22;1.49;0
EMU,INSIDE DRUMS,CKD,BRLD;156;32.38;2.01;0
